sleep_hours,phone_hours,productive_score,notifications_per_day,work_hours_per_day,age,stress_level,screen_time_before_sleep,breaks_during_work,coffee_consumption_per_day,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score
,4.180939775840407,7.291555269465855,61,6.75355840556201,56,4.0,0.4191024304440629,8,4,11,21.92707243727313,6.336688286435082
,3.24960295371668,5.165092998005627,59,9.16929611963351,46,7.0,0.6715191847959994,7,2,25,0.0,3.4124272560804627
,1.5125684014587888,4.081025618987782,50,6.429312045749606,38,5.0,1.5186119585364193,5,5,2,0.0,4.5687282153026025
,4.381069807409355,5.976408248839262,60,3.9023088372875216,56,7.0,2.252623658268498,4,4,20,24.084905103717787,5.50137319764614
,4.0891677766283365,2.4469265730591663,49,6.560467434739402,36,4.0,0.7479976406845648,2,4,29,8.419648394574525,3.444376346020089
,4.097400934778553,3.004240077935848,57,5.839590148525396,40,4.0,0.0,10,2,10,0.0,1.9601308164011269
,3.341558657666664,7.98325212177318,57,11.022034609577885,28,4.0,1.0286395697338595,5,1,3,13.514514952552608,9.41463650091356
,2.715759672403874,7.715133470742169,77,5.63715397676172,53,,0.5992929925996221,5,0,15,4.956755156887391,8.770683446859982
,0.0,7.930675032954072,60,6.8224418555077,57,5.0,1.3410698866980464,3,4,27,18.05265620437408,7.563357571684606
,3.773326308046273,6.773922720050245,65,8.636782458133002,41,10.0,1.263446215973914,6,4,20,12.767973869284932,6.849160000184833
,5.826311296588029,2.8611708867422974,67,4.718497073144404,20,5.0,1.0870814432439675,9,4,0,8.095880944499394,2.179691634134968
,2.3058030190036742,6.629586652811088,64,7.050821060219934,39,9.0,0.0701891824176556,2,3,9,12.110619932651424,
,5.621219699261981,2.062080419419904,52,8.201916407038443,19,1.0,1.957238897968176,3,2,6,20.03264909482339,1.7317247371496371
,1.445357723648213,5.957136871135499,62,6.419898207050239,61,6.0,0.0,4,3,17,14.088958681842806,5.44230501943273
,1.4376657344061785,6.969125318856361,63,7.61046105479489,47,7.0,1.0352279021586897,10,2,22,3.5657127073641317,6.49048125007927
,0.0715034686384337,8.119665072027631,50,7.093237051352487,55,5.0,0.8803646735528823,2,1,21,4.72050127510353,8.548482374080775
,5.916044259617864,2.974136908027594,65,6.592757485749668,19,5.0,0.8299391315458594,1,2,22,10.619488783288151,3.2074009749761734
,4.030315420149807,6.073044145143145,57,6.299842055265692,38,7.0,1.2604472028596634,6,1,13,14.2517009923734,5.784979033352987
,4.242185462336886,1.4384179630413625,58,5.068888914640172,50,,0.3485404165570244,7,2,14,14.331846886253956,0.8420772931458893
,1.5515560832371853,7.209460411624187,52,7.96537369608841,29,3.0,0.7722656611569734,8,0,22,6.724089810475565,7.587603667975378
,4.593418669573279,3.6600094885701457,73,10.619574601181515,39,2.0,1.9613181936251356,5,0,15,16.921902058764786,4.416550049921425
,1.9845964147418524,5.672382929888017,56,5.983900411552443,61,3.0,0.6879902912755647,10,0,9,0.6902942512724941,5.181729535882295
,2.0766932054808267,4.767331765932079,57,8.254002161129605,42,3.0,1.5605763793713208,0,2,0,16.438963672765478,6.1764998244603415
,5.144763132827894,2.4169086798591684,55,8.096871863884838,44,,1.7489731958619692,0,0,24,5.104789444342766,0.5183717032366808
,1.0034541198062863,3.618640575481865,56,7.503856646145865,45,8.0,0.8499443229119544,5,2,16,1.8598385334812324,5.572064561565512
,0.7656521995984868,2.403117020263418,62,2.2021047716709257,33,7.0,1.173385971859546,6,3,1,16.982557923028843,3.780552020537351
,2.7074438852856457,7.986016314057592,59,5.399454954894098,32,7.0,0.2388063182052465,0,2,21,23.091730529722195,8.510192630239214
,7.124254014015077,6.964985503391575,59,6.7375730297604655,64,,,4,3,8,31.21677865227743,8.689123963695192
,2.480195084119649,4.515495403857237,61,7.669313202826174,61,10.0,1.0243571257175927,0,2,10,13.48241714507274,5.589337823488065
,1.749943183722754,3.876732391030856,57,6.303235157019867,54,4.0,0.9128377983005512,4,3,13,13.08443572683785,5.512511516311731
,3.0942538852519728,4.662193807152799,67,7.08645855199627,38,8.0,1.688305039922776,8,2,25,3.351965037610144,4.870622594022838
,0.5529223328392248,2.973938095503063,46,4.8688095738722925,35,5.0,0.8593124918568685,6,2,4,11.543032992268566,2.3419143997967864
,0.4011186864021567,7.934279341892775,60,9.643722291251386,21,4.0,1.3129382769207243,7,1,5,19.533507233686198,8.959259063781898
,5.039176278466011,6.834059711891591,58,6.291765531436794,42,3.0,2.966576899985745,3,1,2,21.69603488271964,6.133766687240218
,3.5591772986372034,7.054453195563564,51,9.284383376821632,26,6.0,,5,2,30,0.0,6.832963285171698
,1.9904620993461355,7.597030634880036,60,8.317581438539188,19,8.0,1.2803398179019645,0,1,29,14.392439413545851,6.532444804285157
,0.0,7.586339465237845,62,10.675150657587375,37,6.0,1.2926128714389145,3,0,19,14.298410760700325,7.220725067219375
,5.620133439104666,2.742944820142082,63,8.803146978995777,64,5.0,1.3441014634959907,10,5,19,0.0,3.205556307144075
,2.9586154159044,6.893086987930092,59,11.018555618001391,24,3.0,0.7121476395458355,0,0,2,11.020764020117657,7.540387811915198
,1.6329208515087443,7.361611655183045,51,7.969799586017083,61,1.0,0.6933069800946909,9,4,11,21.94840463627612,8.878769766792416
,6.590503268918364,5.420393108308598,48,2.254103282384904,25,1.0,0.8127989858649791,3,3,12,3.9881655960913625,5.123468907628342
,1.5698120616035278,3.406939530294707,66,9.957394423650204,64,1.0,,2,2,25,9.190318792472697,4.540201597601328
,4.589997969573998,3.24404848837352,61,7.411127023202047,52,1.0,0.8514142011844235,2,3,26,5.216176793157294,2.0446908714228105
,0.0098588016095639,4.276708433373928,55,8.793411270697742,31,7.0,0.6065444655412029,1,0,2,10.882241330786304,
,0.4021387378742891,5.325118472728764,72,5.173965277035414,53,4.0,0.2729181532645971,1,1,22,11.132098612546136,4.06128390784453
,3.757331202550075,6.972137571347723,62,6.681095323923789,57,3.0,0.9881247741058112,5,4,1,17.27280953380276,6.310735074444037
,2.267765112158636,5.394193720837338,61,2.752014973684348,19,4.0,0.2513155025067106,10,2,9,6.292686882153475,7.734261535898735
,5.167122019412776,7.782286965893771,69,7.068988940311604,59,6.0,0.5612345773565316,6,1,13,30.658387637347754,7.378026394825915
,2.8295694913053144,2.103487892293927,51,6.001544284486164,21,2.0,0.0231452931394642,2,2,13,12.542040590202692,0.0
,3.790185230822821,2.1834922893696644,50,7.1447701364488,46,4.0,0.2787121009139295,2,2,26,7.000101380606305,1.9296418405776603
,8.694539037329239,5.537632261717748,67,9.50956918619718,35,3.0,0.5001262785052294,8,1,13,0.0,5.742395546497269
,0.498335829608556,6.775056842279851,58,8.668567292486038,43,,0.1960810237510696,8,3,22,14.368152712204653,8.104706830007714
,1.4590023453524306,5.894081942530983,56,9.146950510627311,61,9.0,3.0,6,1,14,12.6942253947677,6.198401270641121
,0.0,2.7804952114540087,53,5.818752307861592,51,7.0,0.7790347836302871,8,2,11,3.3876198853903308,
,0.0,4.404630626520092,64,8.3638185636748,27,4.0,1.6843896888110723,4,2,6,0.4767811854238424,4.572272375363184
,6.811090571420031,2.147642971250322,52,3.757508589617857,53,10.0,0.722990857973577,5,2,10,8.122276082606481,2.5496356895513594
,2.161792799668915,5.265213585518072,56,6.126468692882968,31,,1.1826274584037546,10,0,1,1.943422477451163,4.605971655148963
,2.43469421925359,4.266142698063823,76,5.671857351546034,65,9.0,2.594968922427629,0,3,29,21.73168859486833,4.131089975389679
,2.012029994948931,4.349644802623489,61,2.3051496832490024,32,2.0,0.5452113705458965,10,3,23,0.0,5.21935996976756
,0.9012221072792256,4.500942214332079,66,4.814427008877596,25,8.0,0.628350080931324,1,0,3,15.079578239219416,5.444899045392789
,3.315270836806156,5.16836270178341,70,10.451281139467332,40,1.0,1.0007914273206964,8,3,21,2.6644466032009,5.819830868353095
,2.17974170467106,7.106348642036497,73,6.330421723980115,57,5.0,0.8962557989544593,10,2,11,19.95403456047644,8.081758050039324
,4.704052712397022,2.316293517184117,69,10.208097507545991,38,9.0,0.0,10,1,13,4.154830677814649,2.5947042539743723
,2.876874138188327,4.9028079624519325,60,9.036383862381363,33,6.0,0.0,3,0,0,12.777321531647171,3.446825003266552
